MAE,RMSE,R2,Model,Dataset
7.900981456389542e-13,1.0565469098206794e-12,1.0,LinearRegression,V2
2.1964285714285716,6.010779008224665,0.9998983407017982,DecisionTreeReg,V2
1.6596428571428559,7.1014411263791075,0.9998581012508719,RandomForestReg,V2
347.20317413934,521.3369054313791,0.23524464865586903,SVR,V2
15.938984273283854,23.775671298652135,0.9984094359543423,MLPRegressor,V2
7.647216193618078e-13,9.76469210544652e-13,1.0,LinearRegression,V4
2.6085379464285716,8.431762682310477,0.9998179902830533,DecisionTreeReg,V4
1.7210128348214266,7.755403002017528,0.9998460192019796,RandomForestReg,V4
348.653994809767,538.8256869599307,0.25671664430874863,SVR,V4
28.18264925065568,40.25266124586531,0.9958519209704516,MLPRegressor,V4
1.0614232784491148e-15,1.388232159477918e-15,1.0,LinearRegression,V7
0.0043744621227186755,0.021364095894701646,0.9995499451970216,DecisionTreeReg,V7
0.0025358534495123638,0.016965384810023843,0.999716192549021,RandomForestReg,V7
0.08785537665514556,0.15565604277898049,0.9761093297502882,SVR,V7
0.05774735379895424,0.0797142523226713,0.9937343184617036,MLPRegressor,V7
