antecedents,consequents,support,confidence,lift
frozenset({'Customer_Seniority_Low'}),frozenset({'Recency_High'}),0.11383928571428571,0.3386454183266932,1.0168441515439581
frozenset({'Recency_High'}),frozenset({'Customer_Seniority_Low'}),0.11383928571428571,0.3418230563002681,1.0168441515439581
frozenset({'Customer_Seniority_Low'}),frozenset({'Recency_Low'}),0.11875,0.3532536520584329,1.0370749418229221
frozenset({'Recency_Low'}),frozenset({'Customer_Seniority_Low'}),0.11875,0.34862385321100914,1.0370749418229221
frozenset({'Total_Spent_Low'}),frozenset({'Customer_Seniority_Low'}),0.14151785714285714,0.4237967914438503,1.2606969625952518
frozenset({'Customer_Seniority_Low'}),frozenset({'Total_Spent_Low'}),0.14151785714285714,0.42098273572377154,1.2606969625952518
frozenset({'Engagement_Score_Low'}),frozenset({'Customer_Seniority_Med'}),0.13035714285714287,0.3348623853211009,1.0122695588654063
frozenset({'Customer_Seniority_Med'}),frozenset({'Engagement_Score_Low'}),0.13035714285714287,0.39406207827260464,1.0122695588654065
frozenset({'Engagement_Score_Med'}),frozenset({'Customer_Seniority_Med'}),0.10803571428571429,0.36390977443609024,1.1000781305490448
frozenset({'Customer_Seniority_Med'}),frozenset({'Engagement_Score_Med'}),0.10803571428571429,0.32658569500674767,1.1000781305490448
frozenset({'Income_Med'}),frozenset({'Customer_Seniority_Med'}),0.11964285714285715,0.35924932975871315,1.085989876733492
frozenset({'Customer_Seniority_Med'}),frozenset({'Income_Med'}),0.11964285714285715,0.3616734143049933,1.085989876733492
frozenset({'NumWebPurchases_Low'}),frozenset({'Customer_Seniority_Med'}),0.11651785714285715,0.33634020618556704,1.0167369255812013
frozenset({'Customer_Seniority_Med'}),frozenset({'NumWebPurchases_Low'}),0.11651785714285715,0.3522267206477733,1.0167369255812013
frozenset({'Customer_Seniority_Med'}),frozenset({'NumWebPurchases_Med'}),0.12544642857142857,0.3792172739541161,1.016084561790933
frozenset({'NumWebPurchases_Med'}),frozenset({'Customer_Seniority_Med'}),0.12544642857142857,0.3361244019138756,1.016084561790933
frozenset({'Recency_Med'}),frozenset({'Customer_Seniority_Med'}),0.11160714285714286,0.34199726402188785,1.0338378831430888
frozenset({'Customer_Seniority_Med'}),frozenset({'Recency_Med'}),0.11160714285714286,0.33738191632928477,1.0338378831430888
frozenset({'Total_Spent_Med'}),frozenset({'Customer_Seniority_Med'}),0.12232142857142857,0.36778523489932885,1.1117934226376474
frozenset({'Customer_Seniority_Med'}),frozenset({'Total_Spent_Med'}),0.12232142857142857,0.3697705802968961,1.1117934226376474
frozenset({'Income_High'}),frozenset({'Engagement_Score_High'}),0.19330357142857144,0.5796519410977243,1.8469706231278842
frozenset({'Engagement_Score_High'}),frozenset({'Income_High'}),0.19330357142857144,0.6159317211948792,1.846970623127884
frozenset({'Income_Med'}),frozenset({'Engagement_Score_High'}),0.11339285714285714,0.34048257372654156,1.084894687265225
frozenset({'Engagement_Score_High'}),frozenset({'Income_Med'}),0.11339285714285714,0.3613086770981508,1.084894687265225
frozenset({'NumWebPurchases_High'}),frozenset({'Engagement_Score_High'}),0.221875,0.7914012738853503,2.5216768897627095
frozenset({'Engagement_Score_High'}),frozenset({'NumWebPurchases_High'}),0.221875,0.7069701280227596,2.5216768897627095
frozenset({'Recency_Med'}),frozenset({'Engagement_Score_High'}),0.10758928571428572,0.3296853625170999,1.0504910555310154
frozenset({'Engagement_Score_High'}),frozenset({'Recency_Med'}),0.10758928571428572,0.3428165007112376,1.0504910555310154
